epoch,train_loss,train_crop_acc,val_loss,val_crop_acc,val_crop_f1,val_clip_acc,val_clip_bal_acc,val_clip_f1,val_clip_auroc,val_clip_auprc
1,0.23120519385806151,0.9214285714285714,0.21150666772458257,0.8964285714285715,0.9061488673139159,0.9,0.9,0.9090909090909091,1.0,0.9999999999999999
2,0.16410747533664108,0.9455357142857143,0.3589217209050225,0.8285714285714286,0.8536585365853658,0.8,0.8,0.8333333333333334,1.0,1.0
3,0.14120405943332506,0.9540178571428571,1.3561468074719112,0.5,0.0,0.5,0.5,0.0,0.9600000000000001,0.9622222222222222
4,0.08826857375679538,0.9709821428571429,2.1296247558461294,0.5,0.0,0.5,0.5,0.0,0.52,0.5244344492796505
