epoch,train_loss,train_crop_acc,val_loss,val_crop_acc,val_crop_f1,val_clip_acc,val_clip_bal_acc,val_clip_f1,val_clip_auroc,val_clip_auprc
1,0.6019200999821935,0.6388392857142857,0.5777359397874938,0.675,0.7407407407407407,0.75,0.75,0.8,0.79,0.8176190476190476
2,0.5204303984131132,0.7111607142857143,0.5929784021443791,0.65,0.65,0.75,0.75,0.782608695652174,0.81,0.7721717171717171
3,0.46328570949179787,0.7383928571428572,1.011805940264215,0.6071428571428571,0.717948717948718,0.6,0.6,0.7142857142857143,0.9500000000000001,0.9540404040404039
4,0.4496552409870284,0.7629464285714286,0.9637338254186842,0.5142857142857142,0.05555555555555555,0.5,0.5,0.0,0.76,0.7342957042957042
