epoch,train_loss,train_crop_acc,val_loss,val_crop_acc,val_crop_f1,val_clip_acc,val_clip_bal_acc,val_clip_f1,val_clip_auroc,val_clip_auprc
1,0.7043389554534639,0.5611607142857142,0.7051824993557401,0.55,0.18181818181818182,0.55,0.55,0.18181818181818182,0.8,0.7802669552669552
2,0.5612374439835548,0.690625,1.861620631068945,0.5928571428571429,0.40625,0.6,0.6,0.42857142857142855,0.76,0.7481593406593406
3,0.43324614465236666,0.7794642857142857,0.6344678526123365,0.6107142857142858,0.441025641025641,0.6,0.6,0.42857142857142855,0.8699999999999999,0.8434706959706959
4,0.4145787334867886,0.7879464285714286,0.4039815370407369,0.7857142857142857,0.7959183673469388,0.95,0.95,0.9523809523809523,0.9500000000000001,0.9430122655122654
