epoch,train_loss,train_crop_acc,val_loss,val_crop_acc,val_crop_f1,val_clip_acc,val_clip_bal_acc,val_clip_f1,val_clip_auroc,val_clip_auprc
1,0.10697125511859278,0.9611607142857143,0.011767146880528243,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
2,0.041181553945560674,0.9866071428571429,0.0036560413748958354,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.04154570218025973,0.9870535714285714,0.0026998254841841015,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.043914269101099176,0.9848214285714286,0.006333861005057568,0.9964285714285714,0.996415770609319,1.0,1.0,1.0,1.0,0.9999999999999999
