epoch,train_loss,train_crop_acc,val_loss,val_crop_acc,val_crop_f1,val_clip_acc,val_clip_bal_acc,val_clip_f1,val_clip_auroc,val_clip_auprc
1,0.23045074492692946,0.9223214285714286,1.0385321204861004,0.5,0.0,0.5,0.5,0.0,0.96,0.9572979797979798
2,0.19598145434366807,0.928125,0.08635339325216289,0.9642857142857143,0.9629629629629629,0.95,0.95,0.9473684210526315,1.0,0.9999999999999999
3,0.15747594415609326,0.9504464285714286,0.2000639107492235,0.9571428571428572,0.9552238805970149,0.95,0.95,0.9473684210526315,1.0,0.9999999999999999
4,0.16000637392114317,0.94375,0.6162266168329451,0.6535714285714286,0.7033639143730887,0.7,0.7,0.75,0.8200000000000002,0.8703588516746411
5,0.11783169613086751,0.9535714285714286,0.010098568808201789,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
