epoch,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.20848642941422033,0.9149574563367667,0.05438892987082779,0.9806173725771715,0.9757617728531855,0.9866946778711485,0.9811977715877437
2,0.034309559375875445,0.9891177787729512,0.026005088367994957,0.9903086862885858,0.9929627023223082,0.9880952380952381,0.9905229905229905
3,0.02872825626402649,0.990013434841021,0.07050266840515516,0.9885139985642498,0.9978601997146933,0.9796918767507002,0.9886925795053003
4,0.015244160481698315,0.9948051948051948,0.008977061554479072,0.9964106245513281,0.9985935302390999,0.9943977591036415,0.9964912280701754
5,0.009848209113215461,0.996551724137931,0.009514797930711165,0.9953338119167265,0.9909784871616932,1.0,0.9954688044614849
6,0.009347460100307113,0.996909986565159,0.008799830209523825,0.998205312275664,0.9992982456140351,0.9971988795518207,0.9982474588152822
7,0.005381151497998043,0.9982086878638603,0.01391581728545791,0.9931801866475233,1.0,0.9866946778711485,0.9933027846316531
8,0.008316473210220514,0.996730855351545,0.004427015704661716,0.998205312275664,1.0,0.9964985994397759,0.9982462293931954
9,0.005123934402156441,0.9982086878638603,0.002619041165652986,0.9992821249102656,1.0,0.9985994397759104,0.9992992291520673
10,0.01021633766623618,0.997268248992387,0.00602265371571832,0.9989231873653984,1.0,0.9978991596638656,0.9989484752891693
11,0.002990689651271735,0.9990147783251232,0.0021046722364622336,0.9992821249102656,1.0,0.9985994397759104,0.9992992291520673
12,0.004504385320015834,0.9986565158978952,0.005508439373270819,0.9978463747307968,0.9992977528089888,0.9964985994397759,0.9978962131837307
13,0.00344716622258898,0.9990147783251232,0.0027507305397757647,0.9996410624551328,1.0,0.9992997198879552,0.9996497373029772
14,0.011976250203301638,0.996551724137931,0.012833094583181739,0.9935391241923905,0.9985855728429985,0.988795518207283,0.9936664320900774
15,0.0027162351241633922,0.9988356471115092,0.004534639699860281,0.9985642498205313,0.9992987377279102,0.9978991596638656,0.9985984583041345
