epoch,train_loss,train_crop_acc,val_loss,val_crop_acc,val_crop_f1,val_clip_acc,val_clip_bal_acc,val_clip_f1,val_clip_auroc,val_clip_auprc
1,0.48382313556614376,0.7142857142857143,0.43587663853368547,0.7023809523809523,0.7645951035781544,0.7,0.7,0.7567567567567568,0.88,0.9384873614517579
2,0.38102128065767743,0.7892857142857143,0.36241516505402493,0.7880952380952381,0.8593996840442338,0.8,0.725,0.8636363636363636,0.925,0.963861673457262
3,0.35796595492533273,0.8092261904761905,0.43019169719061917,0.7309523809523809,0.7689161554192229,0.8,0.85,0.8235294117647058,0.885,0.9494553949102007
4,0.3386134830081747,0.8229166666666666,0.33508389835953023,0.8238095238095238,0.8829113924050633,0.8,0.7,0.8695652173913043,0.97,0.9869047619047622
